run,主要db,メモ,model by,lr,N,jcommon学習数,AVG_jglue,Jcommon,AVG_jaster,EL,FA,MC,MR,NLI,QA,RC,chabsa_set_f1,jamp_exact_match,janli_exact_match,jcommonsenseqa_exact_match,jemhopqa_char_f1,jnli_exact_match,jsem_exact_match,jsick_exact_match,jsquad_char_f1,mawps_exact_match,niilc_char_f1,wiki_coreference_set_f1,wiki_dependency_set_f1,wiki_ner_set_f1,wiki_pas_set_f1,wiki_reading_char_f1,basemodel_name,instruction_tuning_data,instruction_tuning_method,llm-jp-eval-version,model_type,num_few_shots,data_type,repetition_penalty,temperature,top_k,top_p,jgule_AVG,jgule_jcommonsenseqa_exact_match,jgule_jnli_exact_match,jgule_jsquad_char_f1,jgule_jsts_pearson,jgule_jsts_spearman
20240327_223304llm-jp-llm-jp-13b-v1-0_inst_jaster_100_lr_1e-5,jaster,,hatakeyama,0.00001,100,4.495518451,0.2527,0.26,0.2669,0,0.0023,0.26,0.06,0.416,0.3288,0.8013,0,0.33,0.5,0.26,0.2532,0.18,0.7,0.37,0.8013,0.06,0.4044,0,0,0,0,0.0115,"llm-jp-llm-jp-13b-v1-0_inst_jaster_100_lr_1e-5,llm-jp-llm-jp-13b-v1-0_inst_jaster_100_lr_1e-5","None,None","None,None","1.1.0,1.1.0","open llm,open llm","0,0","dev,dev","1,1","0.1,0.1","0,0","1,1",0.2527,0.26,0.18,0.8013,0.0072,0.0149
20240327_232006llm-jp-llm-jp-13b-v1-0_inst_jaster_1000_lr_1e-5,jaster,,hatakeyama,0.00001,1000,44.95518451,0.5726,0.26,0.3768,0.3459,0.1447,0.26,0.02,0.548,0.4251,0.894,0.3459,0.36,0.5,0.26,0.4231,0.61,0.7,0.57,0.894,0.02,0.4271,0,0,0,0,0.7235,"llm-jp-llm-jp-13b-v1-0_inst_jaster_1000_lr_1e-5,llm-jp-llm-jp-13b-v1-0_inst_jaster_1000_lr_1e-5","None,None","None,None","1.1.0,1.1.0","open llm,open llm","0,0","dev,dev","1,1","0.1,0.1","0,0","1,1",0.5726,0.26,0.61,0.894,0.5508,0.5483
20240328_083321llm-jp-llm-jp-13b-v1-0_inst_jaster_2500_lr_1e-5,jaster,,hatakeyama,0.00001,2500,112.3879613,0.6814,0.25,0.4111,0.4127,0.1765,0.25,0,0.678,0.4593,0.901,0.4127,0.36,0.75,0.25,0.4785,0.84,0.74,0.7,0.901,0,0.4402,0.05,0,0,0,0.8325,"llm-jp-llm-jp-13b-v1-0_inst_jaster_2500_lr_1e-5,llm-jp-llm-jp-13b-v1-0_inst_jaster_2500_lr_1e-5","None,None","None,None","1.1.0,1.1.0","open llm,open llm","0,0","dev,dev","1,1","0.1,0.1","0,0","1,1",0.6814,0.25,0.84,0.901,0.693,0.7229
20240328_104529llm-jp-llm-jp-13b-v1-0_inst_jaster_5000_lr_1e-5,jaster,,hatakeyama,0.00001,5000,224.7759226,0.7244,0.3,0.4408,0.4587,0.2201,0.3,0.02,0.75,0.4454,0.8917,0.4587,0.49,0.94,0.3,0.4638,0.83,0.71,0.78,0.8917,0.02,0.4269,0,0.2748,0,0,0.8255,"llm-jp-llm-jp-13b-v1-0_inst_jaster_5000_lr_1e-5,llm-jp-llm-jp-13b-v1-0_inst_jaster_5000_lr_1e-5","None,None","None,None","1.1.0,1.1.0","open llm,open llm","0,0","dev,dev","1,1","0.1,0.1","0,0","1,1",0.7244,0.3,0.83,0.8917,0.8069,0.7934
20240329_021611llm-jp-llm-jp-13b-v1-0_inst_jaster_10000_lr_1e-5,jaster,3・29ベスト,hatakeyama,0.00001,10000,449.5518451,0.8288,0.61,0.5082,0.4749,0.2828,0.61,0.03,0.768,0.4974,0.894,0.4749,0.44,0.96,0.61,0.5274,0.89,0.76,0.79,0.894,0.03,0.4674,0.05,0.4223,0.05,0.0433,0.8485,"llm-jp-llm-jp-13b-v1-0_inst_jaster_10000_lr_1e-5,llm-jp-llm-jp-13b-v1-0_inst_jaster_10000_lr_1e-5","None,None","None,None","1.1.0,1.1.0","open llm,open llm","0,0","dev,dev","1,1","0.1,0.1","0,0","1,1",0.8288,0.61,0.89,0.894,0.8846,0.8655
,jaster,,hatakeyama,0.00001,20000,899.1036903,0.8653,0.77,0.5342,0.4768,0.292,0.77,0.02,0.794,0.4962,0.8902,0.4768,0.57,1,0.77,0.5093,0.88,0.75,0.77,0.8902,0.02,0.4831,0.0111,0.4341,0.05,0.0837,0.881,"llm-jp-llm-jp-13b-v1-0_inst_jaster_20000_lr_1e-5,llm-jp-llm-jp-13b-v1-0_inst_jaster_20000_lr_1e-5","None,None","None,None","1.1.0,1.1.0","open llm,open llm","0,0","dev,dev","1,1","0.1,0.1","0,0","1,1",0.8653,0.77,0.88,0.8902,0.8959,0.8905
,jaster,,hatakeyama,0.00001,30000,1348.655535,0.8583,0.81,0.551,0.5355,0.3192,0.81,0.01,0.796,0.4934,0.8931,0.5355,0.58,1,0.81,0.5024,0.85,0.75,0.8,0.8931,0.01,0.4845,0.0333,0.5182,0.05,0.1202,0.8745,"llm-jp-llm-jp-13b-v1-0_inst_jaster_30000_lr_1e-5,llm-jp-llm-jp-13b-v1-0_inst_jaster_30000_lr_1e-5","None,None","None,None","1.1.0,1.1.0","open llm,open llm","0,0","dev,dev","1,1","0.1,0.1","0,0","1,1",0.8583,0.81,0.85,0.8931,0.8797,0.8587
,jaster,,hatakeyama,0.00001,50000,2247.759226,0.8681,0.81,0.5527,0.5159,0.3249,0.81,0.02,0.804,0.501,0.8931,0.5159,0.6,1,0.81,0.5201,0.86,0.75,0.81,0.8931,0.02,0.4818,0,0.5573,0.05,0.1116,0.9055,"llm-jp-llm-jp-13b-v1-0_inst_jaster_50000_lr_1e-5,llm-jp-llm-jp-13b-v1-0_inst_jaster_50000_lr_1e-5","None,None","None,None","1.1.0,1.1.0","open llm,open llm","0,0","dev,dev","1,1","0.1,0.1","0,0","1,1",0.8681,0.81,0.86,0.8931,0.8885,0.8887
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
